Li-conc,eff,IPCC,AWARE,PM
0.25,0.9,4.707917058993805,4.335712249475526,3.8712055336035263e-07
0.2,0.9,4.794460494634943,4.869956974831153,4.142339680641933e-07
0.15000000000000002,0.9,4.938699549572096,5.760364900475763,4.5942299254802594e-07
0.10000000000000002,0.9,5.227177672704829,7.541180751919143,5.498010416368271e-07
0.05000000000000002,0.9,6.09261202884458,12.883628306095119,8.209351887820935e-07
0.05,0.9,6.09261202884458,12.883628306095119,8.209351887820935e-07
0.25,0.6000000000000001,4.5984510932405005,4.359549277285694,3.6564799781785296e-07
0.2,0.6000000000000001,4.697396735569864,4.9703545581226205,3.9664693163344505e-07
0.15000000000000002,0.6000000000000001,4.862306134347536,5.9883634167421445,4.4831182130029437e-07
0.10000000000000002,0.6000000000000001,5.19212494706132,8.02438113415744,5.516416007724846e-07
0.05000000000000002,0.6000000000000001,6.181581370044235,14.132434286227072,8.616309390505653e-07
0.05,0.6000000000000001,6.181581370044235,14.132434286227072,8.616309390505653e-07
0.25,0.30000000000000016,4.4523626899372735,4.39136134318509,3.369916683808426e-07
0.2,0.30000000000000016,4.5678597861787145,5.104341062602926,3.7317604960264406e-07
0.15000000000000002,0.30000000000000016,4.7603549406226335,6.292640661763076,4.33483351608858e-07
0.10000000000000002,0.30000000000000016,5.145345267204602,8.66923986028909,5.540979557829486e-07
0.05000000000000002,0.30000000000000016,6.300316229256383,15.79903745566143,9.159417681435592e-07
0.05,0.30000000000000016,6.300316229256383,15.79903745566143,9.159417681435592e-07
